,X1,X2,corr,highest_corr,highest_k
717,16,29,,,['k =0']
718,16,30,,,['k =0']
719,16,31,,,['k =0']
720,16,32,,,['k =0']
721,16,33,,,['k =0']
722,16,34,,,['k =0']
723,16,35,,,['k =0']
724,16,36,,,['k =0']
725,16,37,,,['k =0']
726,16,38,,,['k =0']
727,16,39,,,['k =0']
728,16,40,,,['k =0']
729,16,41,,,['k =0']
730,16,42,,,['k =0']
731,16,43,,,['k =0']
732,16,44,,,['k =0']
733,16,45,,,['k =0']
734,16,46,,,['k =0']
735,16,47,,,['k =0']
736,16,48,,,['k =0']
737,16,49,,,['k =0']
738,16,50,,,['k =0']
739,16,51,,,['k =0']
740,16,52,,,['k =0']
741,16,53,,,['k =0']
742,16,54,,,['k =0']
743,16,55,,,['k =0']
744,17,18,,,['k =0']
745,17,19,,,['k =0']
746,17,20,,,['k =0']
747,17,21,,,['k =0']
748,17,22,,,['k =0']
749,17,23,,,['k =0']
750,17,24,,,['k =0']
751,17,25,,,['k =0']
752,17,26,,,['k =0']
753,17,27,,,['k =0']
754,17,28,,,['k =0']
755,17,29,,,['k =0']
756,17,30,,,['k =0']
757,17,31,,,['k =0']
758,17,32,,,['k =0']
759,17,33,,,['k =0']
760,17,34,,,['k =0']
761,17,35,,,['k =0']
762,17,36,,,['k =0']
763,17,37,,,['k =0']
764,17,38,,,['k =0']
765,17,39,,,['k =0']
766,17,40,,,['k =0']
767,17,41,,,['k =0']
768,17,42,,,['k =0']
769,17,43,,,['k =0']
770,17,44,,,['k =0']
771,17,45,,,['k =0']
772,17,46,,,['k =0']
773,17,47,,,['k =0']
774,17,48,,,['k =0']
775,17,49,,,['k =0']
776,17,50,,,['k =0']
777,17,51,,,['k =0']
778,17,52,,,['k =0']
779,17,53,,,['k =0']
780,17,54,,,['k =0']
781,17,55,,,['k =0']
782,18,19,,,['k =0']
783,18,20,,,['k =0']
784,18,21,,,['k =0']
785,18,22,,,['k =0']
786,18,23,,,['k =0']
787,18,24,,,['k =0']
788,18,25,,,['k =0']
789,18,26,,,['k =0']
790,18,27,,,['k =0']
791,18,28,,,['k =0']
792,18,29,,,['k =0']
793,18,30,,,['k =0']
794,18,31,,,['k =0']
795,18,32,,,['k =0']
796,18,33,,,['k =0']
797,18,34,,,['k =0']
798,18,35,,,['k =0']
799,18,36,,,['k =0']
800,18,37,,,['k =0']
801,18,38,,,['k =0']
802,18,39,,,['k =0']
803,18,40,,,['k =0']
804,18,41,,,['k =0']
805,18,42,,,['k =0']
806,18,43,,,['k =0']
807,18,44,,,['k =0']
808,18,45,,,['k =0']
809,18,46,,,['k =0']
810,18,47,,,['k =0']
811,18,48,,,['k =0']
812,18,49,,,['k =0']
813,18,50,,,['k =0']
814,18,51,,,['k =0']
815,18,52,,,['k =0']
816,18,53,,,['k =0']
817,18,54,,,['k =0']
818,18,55,,,['k =0']
819,19,20,,,['k =0']
820,19,21,,,['k =0']
821,19,22,,,['k =0']
822,19,23,,,['k =0']
823,19,24,,,['k =0']
824,19,25,,,['k =0']
825,19,26,,,['k =0']
826,19,27,,,['k =0']
827,19,28,,,['k =0']
828,19,29,,,['k =0']
829,19,30,,,['k =0']
830,19,31,,,['k =0']
831,19,32,,,['k =0']
832,19,33,,,['k =0']
833,19,34,,,['k =0']
834,19,35,,,['k =0']
835,19,36,,,['k =0']
836,19,37,,,['k =0']
837,19,38,,,['k =0']
838,19,39,,,['k =0']
839,19,40,,,['k =0']
840,19,41,,,['k =0']
841,19,42,,,['k =0']
842,19,43,,,['k =0']
843,19,44,,,['k =0']
844,19,45,,,['k =0']
845,19,46,,,['k =0']
846,19,47,,,['k =0']
847,19,48,,,['k =0']
848,19,49,,,['k =0']
849,19,50,,,['k =0']
850,19,51,,,['k =0']
851,19,52,,,['k =0']
852,19,53,,,['k =0']
853,19,54,,,['k =0']
854,19,55,,,['k =0']
855,20,21,,,['k =0']
856,20,22,,,['k =0']
857,20,23,,,['k =0']
858,20,24,,,['k =0']
859,20,25,,,['k =0']
860,20,26,,,['k =0']
861,20,27,,,['k =0']
862,20,28,,,['k =0']
863,20,29,,,['k =0']
864,20,30,,,['k =0']
865,20,31,,,['k =0']
866,20,32,,,['k =0']
867,20,33,,,['k =0']
868,20,34,,,['k =0']
869,20,35,,,['k =0']
870,20,36,,,['k =0']
871,20,37,,,['k =0']
872,20,38,,,['k =0']
873,20,39,,,['k =0']
874,20,40,,,['k =0']
875,20,41,,,['k =0']
876,20,42,,,['k =0']
877,20,43,,,['k =0']
878,20,44,,,['k =0']
879,20,45,,,['k =0']
880,20,46,,,['k =0']
881,20,47,,,['k =0']
882,20,48,,,['k =0']
883,20,49,,,['k =0']
884,20,50,,,['k =0']
885,20,51,,,['k =0']
886,20,52,,,['k =0']
887,20,53,,,['k =0']
888,20,54,,,['k =0']
889,20,55,,,['k =0']
890,21,22,,,['k =0']
891,21,23,,,['k =0']
892,21,24,,,['k =0']
893,21,25,,,['k =0']
894,21,26,,,['k =0']
895,21,27,,,['k =0']
896,21,28,,,['k =0']
897,21,29,,,['k =0']
898,21,30,,,['k =0']
899,21,31,,,['k =0']
900,21,32,,,['k =0']
901,21,33,,,['k =0']
902,21,34,,,['k =0']
903,21,35,,,['k =0']
904,21,36,,,['k =0']
905,21,37,,,['k =0']
906,21,38,,,['k =0']
907,21,39,,,['k =0']
908,21,40,,,['k =0']
